clickstream_id,session_id,customer_id,customer_segment,campaign_id,campaign_group,device_type,referrer,location,timestamp,event_order,event_type,page,scroll_depth,product_id,name,category,price,stock,discount_applied,bounce_flag,cart_size
8b136d24-4732-4dd1-b295-fd128cc8030d_0,8b136d24-4732-4dd1-b295-fd128cc8030d,CUST092,New Customers,,non-campaign,Mobile,google.com,Choa Chu Kang,2024-04-16 18:05:13,1,Product View,/product/PROD031,3.0,PROD031,EXTRA COCA-COLA COLA,Beverages,17.06,,0.0,0,1
8b136d24-4732-4dd1-b295-fd128cc8030d_1,8b136d24-4732-4dd1-b295-fd128cc8030d,CUST092,New Customers,,non-campaign,Mobile,google.com,Choa Chu Kang,2024-04-16 18:06:05,2,Cart View,/cart,,,,,,,,0,1
8b136d24-4732-4dd1-b295-fd128cc8030d_2,8b136d24-4732-4dd1-b295-fd128cc8030d,CUST092,New Customers,,non-campaign,Mobile,google.com,Choa Chu Kang,2024-04-16 18:06:41,3,Remove from Cart,/remove_from_cart/PROD033,,PROD033,Classic Hada Detergent Pods,,50.1,in stock,0.0,0,0
98f07636-2ec4-4e69-96c9-30e58e9bd511_0,98f07636-2ec4-4e69-96c9-30e58e9bd511,CUST043,Active Customers,CAMP109,treatment,Mobile,google.com,Tiong Bahru,2024-12-25 21:20:01,1,Search View,/search?q=Philips,7.0,,,,,,,0,5
98f07636-2ec4-4e69-96c9-30e58e9bd511_1,98f07636-2ec4-4e69-96c9-30e58e9bd511,CUST043,Active Customers,CAMP109,treatment,Mobile,google.com,Tiong Bahru,2024-12-25 21:20:18,2,Home View,/home,5.0,,,,,,,0,5
98f07636-2ec4-4e69-96c9-30e58e9bd511_2,98f07636-2ec4-4e69-96c9-30e58e9bd511,CUST043,Active Customers,CAMP109,treatment,Mobile,google.com,Tiong Bahru,2024-12-25 21:20:36,3,Cart View,/cart,,,,,,,,0,5
98f07636-2ec4-4e69-96c9-30e58e9bd511_3,98f07636-2ec4-4e69-96c9-30e58e9bd511,CUST043,Active Customers,CAMP109,treatment,Mobile,google.com,Tiong Bahru,2024-12-25 21:21:19,4,Remove from Cart,/remove_from_cart/PROD079,,PROD079,Extra Bimbo Cake,,22.59,in stock,0.0,0,4
eb79f6f6-4844-410d-9a50-8dfb40010be1_0,eb79f6f6-4844-410d-9a50-8dfb40010be1,CUST096,High Spenders,CAMP110,treatment,Desktop,youtube.com,Kovan,2024-12-29 20:12:22,1,Product View,/product/PROD098,50.0,PROD098,Extra MamyPoko Formula,Baby Products,7.18,in stock,0.0,0,3
eb79f6f6-4844-410d-9a50-8dfb40010be1_1,eb79f6f6-4844-410d-9a50-8dfb40010be1,CUST096,High Spenders,CAMP110,treatment,Desktop,youtube.com,Kovan,2024-12-29 20:12:39,2,Add to Cart,/add_to_cart/PROD098,,PROD098,Extra MamyPoko Formula,,7.18,in stock,0.0,0,4
eb79f6f6-4844-410d-9a50-8dfb40010be1_2,eb79f6f6-4844-410d-9a50-8dfb40010be1,CUST096,High Spenders,CAMP110,treatment,Desktop,youtube.com,Kovan,2024-12-29 20:12:49,3,Product View,/product/PROD060,25.0,PROD060,Premium Farmpride Frozen Veggies,Frozen Food,46.61,in stock,0.0,0,4
eb79f6f6-4844-410d-9a50-8dfb40010be1_3,eb79f6f6-4844-410d-9a50-8dfb40010be1,CUST096,High Spenders,CAMP110,treatment,Desktop,youtube.com,Kovan,2024-12-29 20:13:26,4,Add to Cart,/add_to_cart/PROD060,,PROD060,Premium Farmpride Frozen Veggies,,46.61,in stock,0.0,0,5
eb79f6f6-4844-410d-9a50-8dfb40010be1_4,eb79f6f6-4844-410d-9a50-8dfb40010be1,CUST096,High Spenders,CAMP110,treatment,Desktop,youtube.com,Kovan,2024-12-29 20:13:39,5,Category View,/category/dairy-&-eggs,50.0,,,Dairy & Eggs,,,,0,5
eb79f6f6-4844-410d-9a50-8dfb40010be1_5,eb79f6f6-4844-410d-9a50-8dfb40010be1,CUST096,High Spenders,CAMP110,treatment,Desktop,youtube.com,Kovan,2024-12-29 20:14:05,6,Product View,/product/PROD078,100.0,PROD078,Deluxe SCS Cheese,Dairy & Eggs,57.99,in stock,0.0,0,5
eb79f6f6-4844-410d-9a50-8dfb40010be1_6,eb79f6f6-4844-410d-9a50-8dfb40010be1,CUST096,High Spenders,CAMP110,treatment,Desktop,youtube.com,Kovan,2024-12-29 20:15:03,7,Cart View,/cart,,,,,,,,0,5
eb79f6f6-4844-410d-9a50-8dfb40010be1_7,eb79f6f6-4844-410d-9a50-8dfb40010be1,CUST096,High Spenders,CAMP110,treatment,Desktop,youtube.com,Kovan,2024-12-29 20:15:38,8,Checkout Start,/checkout,,,,,,,,0,5
eb79f6f6-4844-410d-9a50-8dfb40010be1_8,eb79f6f6-4844-410d-9a50-8dfb40010be1,CUST096,High Spenders,CAMP110,treatment,Desktop,youtube.com,Kovan,2024-12-29 20:16:15,9,Payment Attempt,/payment,,,,,,,,0,5
eb79f6f6-4844-410d-9a50-8dfb40010be1_9,eb79f6f6-4844-410d-9a50-8dfb40010be1,CUST096,High Spenders,CAMP110,treatment,Desktop,youtube.com,Kovan,2024-12-29 20:17:13,10,Payment Successful,/payment/success,,,,,,,,0,5
eb07ef13-39d9-408a-8063-8affda3e1336_0,eb07ef13-39d9-408a-8063-8affda3e1336,CUST074,Active Customers,CAMP089,treatment,Mobile,google.com,Tanjong Pagar,2024-12-23 19:29:46,1,Search View,/search?q=Eggs,60.0,,,,,,,0,0
eb07ef13-39d9-408a-8063-8affda3e1336_1,eb07ef13-39d9-408a-8063-8affda3e1336,CUST074,Active Customers,CAMP089,treatment,Mobile,google.com,Tanjong Pagar,2024-12-23 19:29:56,2,Product View,/product/PROD086,40.0,PROD086,Deluxe Campbell's Tomatoes,"['Canned Goods', 'Canned Goods']",37.02,in stock,0.0,0,0
eb07ef13-39d9-408a-8063-8affda3e1336_2,eb07ef13-39d9-408a-8063-8affda3e1336,CUST074,Active Customers,CAMP089,treatment,Mobile,google.com,Tanjong Pagar,2024-12-23 19:30:43,3,Home View,/home,50.0,,,,,,,0,0
eb07ef13-39d9-408a-8063-8affda3e1336_3,eb07ef13-39d9-408a-8063-8affda3e1336,CUST074,Active Customers,CAMP089,treatment,Mobile,google.com,Tanjong Pagar,2024-12-23 19:31:02,4,Product View,/product/PROD033,75.0,PROD033,Classic Hada Detergent Pods,Household Essentials,50.1,in stock,0.0,0,0
eb07ef13-39d9-408a-8063-8affda3e1336_4,eb07ef13-39d9-408a-8063-8affda3e1336,CUST074,Active Customers,CAMP089,treatment,Mobile,google.com,Tanjong Pagar,2024-12-23 19:31:45,5,Search View,/search?q=Salt,8.0,,,,,,,0,0
eb07ef13-39d9-408a-8063-8affda3e1336_5,eb07ef13-39d9-408a-8063-8affda3e1336,CUST074,Active Customers,CAMP089,treatment,Mobile,google.com,Tanjong Pagar,2024-12-23 19:32:04,6,Product View,/product/PROD030,9.0,PROD030,Extra FairPrice Salt,"['Pantry Staples', 'Pantry Staples']",84.44,in stock,0.0,0,0
eb07ef13-39d9-408a-8063-8affda3e1336_6,eb07ef13-39d9-408a-8063-8affda3e1336,CUST074,Active Customers,CAMP089,treatment,Mobile,google.com,Tanjong Pagar,2024-12-23 19:32:25,7,Home View,/home,4.0,,,,,,,0,0
af78aa83-f168-43dc-9dee-b1bcc087233b_0,af78aa83-f168-43dc-9dee-b1bcc087233b,CUST066,New Customers,CAMP091,treatment,Mobile,google.com,Jurong East,2024-12-19 18:57:49,1,Home View,/home,50.0,,,,,,,0,0
af78aa83-f168-43dc-9dee-b1bcc087233b_1,af78aa83-f168-43dc-9dee-b1bcc087233b,CUST066,New Customers,CAMP091,treatment,Mobile,google.com,Jurong East,2024-12-19 18:58:05,2,Search View,/search?q=Oreo,90.0,,,,,,,0,0
af78aa83-f168-43dc-9dee-b1bcc087233b_2,af78aa83-f168-43dc-9dee-b1bcc087233b,CUST066,New Customers,CAMP091,treatment,Mobile,google.com,Jurong East,2024-12-19 18:58:32,3,Home View,/home,8.0,,,,,,,0,0
af78aa83-f168-43dc-9dee-b1bcc087233b_3,af78aa83-f168-43dc-9dee-b1bcc087233b,CUST066,New Customers,CAMP091,treatment,Mobile,google.com,Jurong East,2024-12-19 18:58:40,4,Product View,/product/PROD080,12.0,PROD080,Premium Tefal Pillows,"Home & Living (Kitchenware, Storage, Bedding)",19.6,in stock,0.0,0,0
af78aa83-f168-43dc-9dee-b1bcc087233b_4,af78aa83-f168-43dc-9dee-b1bcc087233b,CUST066,New Customers,CAMP091,treatment,Mobile,google.com,Jurong East,2024-12-19 18:59:03,5,Search View,/search?q=Cleaning+Supplies,0.0,,,,,,,0,0
af78aa83-f168-43dc-9dee-b1bcc087233b_5,af78aa83-f168-43dc-9dee-b1bcc087233b,CUST066,New Customers,CAMP091,treatment,Mobile,google.com,Jurong East,2024-12-19 18:59:21,6,Category View,"/category/home-&-living-(kitchenware,-storage,-bedding)",75.0,,,"Home & Living (Kitchenware, Storage, Bedding)",,,,0,0
af78aa83-f168-43dc-9dee-b1bcc087233b_6,af78aa83-f168-43dc-9dee-b1bcc087233b,CUST066,New Customers,CAMP091,treatment,Mobile,google.com,Jurong East,2024-12-19 18:59:51,7,Product View,/product/PROD084,4.0,PROD084,Extra IKEA Cookware,"Home & Living (Kitchenware, Storage, Bedding)",48.5,in stock,0.0,0,0
f7d70336-c856-4c9a-9f12-f8632ca5159c_0,f7d70336-c856-4c9a-9f12-f8632ca5159c,CUST096,High Spenders,CAMP044,treatment,Desktop,email_campaign,Kovan,2024-12-25 23:46:51,1,Home View,/home,75.0,,,,,,,0,2
f7d70336-c856-4c9a-9f12-f8632ca5159c_1,f7d70336-c856-4c9a-9f12-f8632ca5159c,CUST096,High Spenders,CAMP044,treatment,Desktop,email_campaign,Kovan,2024-12-25 23:46:59,2,Cart View,/cart,,,,,,,,0,2
bb24a077-52d0-4732-9cef-db65a116e8f3_0,bb24a077-52d0-4732-9cef-db65a116e8f3,CUST052,New Customers,CAMP071,treatment,Mobile,facebook.com,Chinese Garden,2024-12-06 18:33:26,1,Home View,/home,14.0,,,,,,,0,2
bb24a077-52d0-4732-9cef-db65a116e8f3_1,bb24a077-52d0-4732-9cef-db65a116e8f3,CUST052,New Customers,CAMP071,treatment,Mobile,facebook.com,Chinese Garden,2024-12-06 18:33:33,2,Category View,/category/rice-&-noodles,40.0,,,Rice & Noodles,,,,0,2
bb24a077-52d0-4732-9cef-db65a116e8f3_2,bb24a077-52d0-4732-9cef-db65a116e8f3,CUST052,New Customers,CAMP071,treatment,Mobile,facebook.com,Chinese Garden,2024-12-06 18:33:40,3,Product View,/product/PROD092,8.0,PROD092,Classic SongHe Pasta,Rice & Noodles,32.2,in stock,0.0,0,2
bb24a077-52d0-4732-9cef-db65a116e8f3_3,bb24a077-52d0-4732-9cef-db65a116e8f3,CUST052,New Customers,CAMP071,treatment,Mobile,facebook.com,Chinese Garden,2024-12-06 18:34:05,4,Add to Cart,/add_to_cart/PROD092,,PROD092,Classic SongHe Pasta,,32.2,in stock,0.0,0,3
bb24a077-52d0-4732-9cef-db65a116e8f3_4,bb24a077-52d0-4732-9cef-db65a116e8f3,CUST052,New Customers,CAMP071,treatment,Mobile,facebook.com,Chinese Garden,2024-12-06 18:34:15,5,Cart View,/cart,,,,,,,,0,3
bb24a077-52d0-4732-9cef-db65a116e8f3_5,bb24a077-52d0-4732-9cef-db65a116e8f3,CUST052,New Customers,CAMP071,treatment,Mobile,facebook.com,Chinese Garden,2024-12-06 18:35:04,6,Checkout Start,/checkout,,,,,,,,0,3
8d73e4d3-f714-4b3c-828d-10113a20faf8_0,8d73e4d3-f714-4b3c-828d-10113a20faf8,CUST071,Active Customers,CAMP062,treatment,Mobile,facebook.com,Boon Lay,2024-12-16 13:43:24,1,Product View,/product/PROD034,15.0,PROD034,Premium Nivea Conditioner,Health & Beauty,99.08,instock,0.0,0,3
8d73e4d3-f714-4b3c-828d-10113a20faf8_1,8d73e4d3-f714-4b3c-828d-10113a20faf8,CUST071,Active Customers,CAMP062,treatment,Mobile,facebook.com,Boon Lay,2024-12-16 13:43:48,2,Add to Cart,/add_to_cart/PROD034,,PROD034,Premium Nivea Conditioner,,99.08,instock,0.0,0,4
8d73e4d3-f714-4b3c-828d-10113a20faf8_2,8d73e4d3-f714-4b3c-828d-10113a20faf8,CUST071,Active Customers,CAMP062,treatment,Mobile,facebook.com,Boon Lay,2024-12-16 13:44:14,3,Category View,/category/snacks,11.0,,,Snacks,,,,0,4
a885e858-7f7e-47ff-8ceb-6632a92d873f_0,a885e858-7f7e-47ff-8ceb-6632a92d873f,CUST074,Active Customers,CAMP109,treatment,Mobile,google.com,Tanjong Pagar,2024-12-14 00:36:36,1,Search View,/search?q=Monte,9.0,,,,,,,0,1
a885e858-7f7e-47ff-8ceb-6632a92d873f_1,a885e858-7f7e-47ff-8ceb-6632a92d873f,CUST074,Active Customers,CAMP109,treatment,Mobile,google.com,Tanjong Pagar,2024-12-14 00:36:44,2,Category View,/category/pantry-staples,60.0,,,Pantry Staples,,,,0,1
a36a08bc-9ceb-461c-ae2a-ae651215ac53_0,a36a08bc-9ceb-461c-ae2a-ae651215ac53,CUST068,Active Customers,CAMP032,treatment,Mobile,google.com,Marina South,2024-12-26 21:20:13,1,Search View,/search?q=Sanitizer,50.0,,,,,,,0,1
a36a08bc-9ceb-461c-ae2a-ae651215ac53_1,a36a08bc-9ceb-461c-ae2a-ae651215ac53,CUST068,Active Customers,CAMP032,treatment,Mobile,google.com,Marina South,2024-12-26 21:20:39,2,Product View,/product/PROD065,4.0,PROD065,EXTRA LIFEBUOY HAND SANITIZER,['Personal Care'],36.12,in stock,0.0,0,1
a36a08bc-9ceb-461c-ae2a-ae651215ac53_2,a36a08bc-9ceb-461c-ae2a-ae651215ac53,CUST068,Active Customers,CAMP032,treatment,Mobile,google.com,Marina South,2024-12-26 21:21:29,3,Home View,/home,9.0,,,,,,,0,1
a36a08bc-9ceb-461c-ae2a-ae651215ac53_3,a36a08bc-9ceb-461c-ae2a-ae651215ac53,CUST068,Active Customers,CAMP032,treatment,Mobile,google.com,Marina South,2024-12-26 21:21:39,4,Cart View,/cart,,,,,,,,0,1
a36a08bc-9ceb-461c-ae2a-ae651215ac53_4,a36a08bc-9ceb-461c-ae2a-ae651215ac53,CUST068,Active Customers,CAMP032,treatment,Mobile,google.com,Marina South,2024-12-26 21:22:25,5,Remove from Cart,/remove_from_cart/PROD098,,PROD098,Extra MamyPoko Formula,,7.18,in stock,0.0,0,0
a36a08bc-9ceb-461c-ae2a-ae651215ac53_5,a36a08bc-9ceb-461c-ae2a-ae651215ac53,CUST068,Active Customers,CAMP032,treatment,Mobile,google.com,Marina South,2024-12-26 21:23:12,6,Home View,/home,25.0,,,,,,,0,0
56283fbf-0f63-425f-b427-b62df0873ce9_0,56283fbf-0f63-425f-b427-b62df0873ce9,CUST096,High Spenders,CAMP084,treatment,Desktop,email_campaign,Kovan,2024-12-23 18:49:02,1,Home View,/home,25.0,,,,,,,0,4
56283fbf-0f63-425f-b427-b62df0873ce9_1,56283fbf-0f63-425f-b427-b62df0873ce9,CUST096,High Spenders,CAMP084,treatment,Desktop,email_campaign,Kovan,2024-12-23 18:49:10,2,Cart View,/cart,,,,,,,,0,4
56283fbf-0f63-425f-b427-b62df0873ce9_2,56283fbf-0f63-425f-b427-b62df0873ce9,CUST096,High Spenders,CAMP084,treatment,Desktop,email_campaign,Kovan,2024-12-23 18:49:33,3,Product View,/product/PROD095,,PROD095,Deluxe FairPrice Trash Bags,Household Essentials,48.27,in stock,0.0,0,4
56283fbf-0f63-425f-b427-b62df0873ce9_3,56283fbf-0f63-425f-b427-b62df0873ce9,CUST096,High Spenders,CAMP084,treatment,Desktop,email_campaign,Kovan,2024-12-23 18:51:22,4,Home View,/home,25.0,,,,,,,0,4
56283fbf-0f63-425f-b427-b62df0873ce9_4,56283fbf-0f63-425f-b427-b62df0873ce9,CUST096,High Spenders,CAMP084,treatment,Desktop,email_campaign,Kovan,2024-12-23 18:51:32,5,Search View,/search?q=Ocean+Fresh,8.0,,,,,,,0,4
56283fbf-0f63-425f-b427-b62df0873ce9_5,56283fbf-0f63-425f-b427-b62df0873ce9,CUST096,High Spenders,CAMP084,treatment,Desktop,email_campaign,Kovan,2024-12-23 18:51:47,6,Product View,/product/PROD017,100.0,PROD017,Extra Ocean Fresh Fish,"['Meat & Seafood', 'Meat & Seafood']",60.39,in stock,0.0,0,4
56283fbf-0f63-425f-b427-b62df0873ce9_6,56283fbf-0f63-425f-b427-b62df0873ce9,CUST096,High Spenders,CAMP084,treatment,Desktop,email_campaign,Kovan,2024-12-23 18:52:23,7,Add to Cart,/add_to_cart/PROD017,,PROD017,Extra Ocean Fresh Fish,,60.39,in stock,0.0,0,5
56283fbf-0f63-425f-b427-b62df0873ce9_7,56283fbf-0f63-425f-b427-b62df0873ce9,CUST096,High Spenders,CAMP084,treatment,Desktop,email_campaign,Kovan,2024-12-23 18:52:27,8,Product View,/product/PROD031,3.0,PROD031,EXTRA COCA-COLA COLA,Beverages,17.06,,0.0,0,5
a91cd181-584f-47a6-8135-5c41314b9817_0,a91cd181-584f-47a6-8135-5c41314b9817,CUST071,Active Customers,CAMP097,treatment,Desktop,youtube.com,Boon Lay,2024-12-30 17:20:17,1,Product View,/product/PROD028,50.0,PROD028,Extra Dole Bananas,Fresh Produce,78.59,in stock,0.0,0,3
a91cd181-584f-47a6-8135-5c41314b9817_1,a91cd181-584f-47a6-8135-5c41314b9817,CUST071,Active Customers,CAMP097,treatment,Desktop,youtube.com,Boon Lay,2024-12-30 17:20:54,2,Cart View,/cart,,,,,,,,0,3
a91cd181-584f-47a6-8135-5c41314b9817_2,a91cd181-584f-47a6-8135-5c41314b9817,CUST071,Active Customers,CAMP097,treatment,Desktop,youtube.com,Boon Lay,2024-12-30 17:21:13,3,Remove from Cart,/remove_from_cart/PROD030,,PROD030,Extra FairPrice Salt,,84.44,in stock,0.0,0,2
a91cd181-584f-47a6-8135-5c41314b9817_3,a91cd181-584f-47a6-8135-5c41314b9817,CUST071,Active Customers,CAMP097,treatment,Desktop,youtube.com,Boon Lay,2024-12-30 17:22:35,4,Category View,/category/personal-care,50.0,,,Personal Care,,,,0,2
a91cd181-584f-47a6-8135-5c41314b9817_4,a91cd181-584f-47a6-8135-5c41314b9817,CUST071,Active Customers,CAMP097,treatment,Desktop,youtube.com,Boon Lay,2024-12-30 17:22:52,5,Home View,/home,90.0,,,,,,,0,2
a91cd181-584f-47a6-8135-5c41314b9817_5,a91cd181-584f-47a6-8135-5c41314b9817,CUST071,Active Customers,CAMP097,treatment,Desktop,youtube.com,Boon Lay,2024-12-30 17:22:58,6,Search View,/search?q=Tea,50.0,,,,,,,0,2
a91cd181-584f-47a6-8135-5c41314b9817_6,a91cd181-584f-47a6-8135-5c41314b9817,CUST071,Active Customers,CAMP097,treatment,Desktop,youtube.com,Boon Lay,2024-12-30 17:23:26,7,Product View,/product/PROD054,4.0,PROD054,Extra Heaven & Earth Tea,"['Beverages', 'Beverages']",93.58,in stock,0.0,0,2
a91cd181-584f-47a6-8135-5c41314b9817_7,a91cd181-584f-47a6-8135-5c41314b9817,CUST071,Active Customers,CAMP097,treatment,Desktop,youtube.com,Boon Lay,2024-12-30 17:23:41,8,Add to Cart,/add_to_cart/PROD054,,PROD054,Extra Heaven & Earth Tea,,93.58,in stock,0.0,0,3
168aea7a-3788-4586-8d71-2507c0d412ff_0,168aea7a-3788-4586-8d71-2507c0d412ff,CUST092,New Customers,,non-campaign,Desktop,google.com,Choa Chu Kang,2024-01-29 21:23:27,1,Search View,/search?q=Farmpride,60.0,,,,,,,0,0
168aea7a-3788-4586-8d71-2507c0d412ff_1,168aea7a-3788-4586-8d71-2507c0d412ff,CUST092,New Customers,,non-campaign,Desktop,google.com,Choa Chu Kang,2024-01-29 21:23:45,2,Category View,/category/breakfast-foods,60.0,,,Breakfast Foods,,,,0,0
168aea7a-3788-4586-8d71-2507c0d412ff_2,168aea7a-3788-4586-8d71-2507c0d412ff,CUST092,New Customers,,non-campaign,Desktop,google.com,Choa Chu Kang,2024-01-29 21:23:55,3,Search View,/search?q=Fish,4.0,,,,,,,0,0
168aea7a-3788-4586-8d71-2507c0d412ff_3,168aea7a-3788-4586-8d71-2507c0d412ff,CUST092,New Customers,,non-campaign,Desktop,google.com,Choa Chu Kang,2024-01-29 21:24:05,4,Product View,/product/PROD077,14.0,PROD077,PREMIUM OCEAN FRESH FISH,['Meat & Seafood'],83.94,OUT OF STOCK,0.0,0,0
168aea7a-3788-4586-8d71-2507c0d412ff_4,168aea7a-3788-4586-8d71-2507c0d412ff,CUST092,New Customers,,non-campaign,Desktop,google.com,Choa Chu Kang,2024-01-29 21:24:58,5,Search View,/search?q=Fresh,50.0,,,,,,,0,0
44786874-71bd-4769-a9d8-c5462897abb7_0,44786874-71bd-4769-a9d8-c5462897abb7,CUST046,Active Customers,CAMP092,treatment,Mobile,google.com,Alexandra,2024-12-24 19:44:13,1,Search View,/search?q=Pokka,85.0,,,,,,,0,1
